Date,MSFT,AAPL,V,INTC,CSCO
2010-01-04,25.153471828922,27.503267796595,20.802686143956,16.019937271337,20.40319987334
2010-01-05,25.161598960369,27.550817953526,20.564307280722,16.012264887586,20.312298618335
2010-01-06,25.007183462873,27.112585426138,20.288165429254,15.958558201332,20.180078611056
2010-01-07,24.748740682854,27.062464990454,20.476980370429,15.805110526319,20.27097986606
2010-01-08,24.917785016955,27.242384503165,20.533624852781,15.981575352583,20.378408621975
2010-01-11,24.600826890516,27.002063439758,20.474620183664,16.073643957591,20.32056236879
2010-01-12,24.438284261573,26.694915128773,20.377852526312,15.811248433319,19.998276101046
2010-01-13,24.665843942093,27.07146096609,20.566667467487,16.081316341342,20.361881121065
2010-01-14,25.161598960369,26.914673962156,20.637473070428,16.480280296375,20.618057385169
2010-01-15,25.080327645898,26.464875180379,20.330648791018,15.958558201332,20.163551110146
2010-01-19,25.275378800629,27.635637152376,20.73424072778,16.150367795098,20.53541988062
2010-01-20,24.856831531101,27.209613449064,20.632752696898,16.173384946349,20.171814860601
2010-01-21,24.38952147289,26.740152034826,19.931777227786,15.989247736334,19.816473591037
2010-01-22,23.53617267094,25.413631170397,19.52582510426,15.275716047525,18.981834795084
2010-01-25,23.828749403037,26.097967888387,19.360612030732,15.590283781301,18.998362295994
2010-01-26,23.975037769086,26.466160319755,19.152915595439,15.34476750128,18.923988541899
2010-01-27,24.113199003687,26.715991414548,19.804327142493,15.528904711296,19.130582303273
2010-01-28,23.698715299883,25.611542634379,19.506943610142,15.283388431275,18.60996602461
2010-01-29,22.902256418062,24.682772406979,19.360612030732,14.884424476242,18.568647272335
2010-02-01,23.089180441346,25.025519078693,19.745322473376,15.045544535005,18.783504784164
2010-02-02,23.129816098582,25.170739828238,19.82792901014,15.275716047525,19.023153547359
2010-02-03,23.267977333184,25.60383179812,19.71227985867,15.220091265332,19.064472299634
2010-02-04,22.625933948859,24.681101725789,19.60135108073,14.709661375337,19.138846053728
2010-02-05,22.772222314908,25.119334253178,19.48570192926,15.057681754879,19.585088578297
2010-02-08,22.528408371493,24.947125576726,19.60135108073,14.964876320334,19.418987194152
2010-02-09,22.764095183461,25.213149427663,19.653275189553,15.196889906696,19.742099836942
2010-02-10,22.747840920566,25.075125458626,19.770104434405,15.227825051544,19.634671081027
2010-02-11,22.853493629379,25.531863993036,20.124661544061,15.513975141391,19.775154838762
